	condition	predicate	response	slide_number	language	enjoyment	age	gender	education	comments	Browser	OS	screenH	screenW	time_in_minutes	participant_id	negated	valence	asses	adjective
10	NNegative	not inaccurate	0.26	13	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	true	negative	Yes	inaccurate
11	NNegative	not short	0.28	14	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	true	negative	Yes	short
12	NNegative	not unsatisfactory	0.25	15	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	true	negative	Yes	unsatisfactory
13	positive	strong	0.5	16	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	false	positive	Yes	strong
14	NPositive	not polite	0.25	17	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	true	positive	Yes	polite
15	NNegative	not impossible	0.33	18	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	true	negative	Yes	impossible
16	NNegative	not unhappy	0.28	19	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	true	negative	Yes	unhappy
17	NNegative	not frustrating	0.3	20	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	true	negative	Yes	frustrating
18	positive	good	0.45	21	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	false	positive	Yes	good
19	positive	happy	0.5	22	ENGLISH	2	31	Male	4	NO	Chrome	Windows	768	1366	27.094	7	false	positive	Yes	happy
0	NPositive	not happy	0.94	3	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	positive	Yes	happy
1	positive	rich	0.52	4	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	false	positive	Yes	rich
2	positive	possible	0.3	5	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	false	positive	Yes	possible
3	positive	fair	0.49	6	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	false	positive	Yes	fair
4	NPositive	not certain	0.68	7	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	positive	Yes	certain
5	NPositive	not useful	0.11	8	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	positive	Yes	useful
6	NNegative	not unfriendly	0.48	9	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	negative	Yes	unfriendly
7	NNegative	not mean	0.47	10	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	negative	Yes	mean
8	positive	long	0.61	11	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	false	positive	Yes	long
9	NNegative	not rude	0.56	12	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	negative	Yes	rude
10	positive	good	0.7	13	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	false	positive	Yes	good
11	NPositive	not polite	0.91	14	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	positive	Yes	polite
12	NNegative	not inaccurate	0.15	15	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	negative	Yes	inaccurate
13	positive	satisfactory	0.45	16	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	false	positive	Yes	satisfactory
14	negative	unlucky	0.55	17	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	false	negative	Yes	unlucky
15	NNegative	not uninteresting	0.6	18	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	negative	Yes	uninteresting
16	NNegative	not unhappy	0.51	19	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	negative	Yes	unhappy
17	NPositive	not tall	0.93	20	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	positive	Yes	tall
18	positive	strong	0.61	21	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	false	positive	Yes	strong
19	NPositive	not satisfactory	0.5	22	English 	2	25	Male	2		Safari	iPhone/iPod	896	414	59.786	8	true	positive	Yes	satisfactory
0	negative	uninteresting	0.7	3	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	negative	Yes	uninteresting
1	NPositive	not friendly	0.82	4	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	true	positive	Yes	friendly
2	negative	bad	0.56	5	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	negative	Yes	bad
3	NPositive	not polite	0.69	6	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	true	positive	Yes	polite
4	negative	unlucky	0.69	7	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	negative	Yes	unlucky
5	positive	useful	0.63	8	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	positive	Yes	useful
6	negative	unfair	0.66	9	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	negative	Yes	unfair
7	negative	uncertain	0.27	10	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	negative	Yes	uncertain
8	negative	sad	0.71	11	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	negative	Yes	sad
9	NPositive	not satisfactory	0.82	12	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	true	positive	Yes	satisfactory
10	negative	weak	0.43	13	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	negative	Yes	weak
11	positive	accurate	0.16	14	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	positive	Yes	accurate
12	NNegative	not impossible	0.56	15	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	true	negative	Yes	impossible
13	positive	tall	0.12	16	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	positive	Yes	tall
14	NPositive	not polite	0.82	17	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	true	positive	Yes	polite
15	positive	long	0.17	18	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	positive	Yes	long
16	negative	mean	0.7	19	English	2	33	Male	4		Chrome	Linux	820	360	2.594.333.333.333.330	9	false	negative	Yes	mean
